,name,description,pic,taste,weight,volume,season,function,"type(land,air,ect)",technique,botanical relative,,
,almond,,https://images.unsplash.com/photo-1608797178974-15b35a64ede9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2370&q=80,sweet,medium,quiet,,warming,,,peaches,,
,apples,,https://images.unsplash.com/photo-1606757389723-23c4bf501fba?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2370&q=80,"sweet, astringent",medium,quiet-moderate,Autumn,,Fruit,"bake, caramelize, deep-fry (e.g., as fritters), grill, poach, raw,sauté, stew",,Autumn,Fruit
,broccoli,,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1801&q=80,,medium,moderate,Autumn–Winter,,Vegetable,"boil, deep-fry, sauté, steam, stir-fry","Brussels sprouts, cabbage, cauliflower, collard greens, kale, kohlrabi",Autumn–Winter,Vegetable
,Brussels sprouts,,https://images.unsplash.com/photo-1614087434853-25e6e8357217?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,bitter,moderate–heavy,moderate–loud,Autumn–Winter,,Vegetable,"boil, braise, sauté, simmer, steam, stew, stir-fry","broccoli, cabbage, cauliflower, collard greens, kale, kohlrabi",Autumn–Winter,Vegetable
,cabbage,,https://cdn.pixabay.com/photo/2019/02/01/15/56/savoy-3969270_1280.jpg,,medium,moderate,Autumn–Winter,,Vegetable,"boil, braise, raw, sauté, steam, stir-fry","broccoli, Brussels sprouts, cauliflower, collard greens, kale, kohlrabi",Autumn–Winter,Vegetable
,asparagus,,https://cdn.pixabay.com/photo/2015/03/30/20/45/asparagus-700153_1280.jpg,,light–medium,moderate,Spring,,Vegetable,"blanch, boil, deep-fry, grill, pan roast, simmer, steam, stir-fry",,Spring,Vegetable
,artichokes,,https://images.unsplash.com/photo-1551465222-21f38590e0ab?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1335&q=80,,medium,moderate–loud,Spring–Early Autumn,,Vegetable,"bake,  boil,  braise,  broil,  deep-fry,  grill,  raw,  roast,  sauté,steam, stew",,Spring–Early Autumn,Vegetable
,avocado,,https://images.unsplash.com/photo-1632670952530-0614e8582534?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2148&q=80,,medium–heavy,quiet,Spring–Summer,,Fruit,raw,"allspice, bay leaf",Spring–Summer,Fruit
,blueberry,,https://images.unsplash.com/photo-1606757389667-45c2024f9fa4?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mnx8Ymx1ZWJlcnJ5fGVufDB8fDB8fA%3D%3D&auto=format&fit=crop&w=800&q=60,sour–sweet,light,quiet–moderate,Spring–Summer,,Fruit,"cooked, raw",huckleberries,Spring–Summer,Fruit
,arugula,,https://images.unsplash.com/photo-1621664270515-0a497de945a3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTF8fGFydWd1bGElMjBsZWFmfGVufDB8fDB8fA%3D%3D&auto=format&fit=crop&w=800&q=60,bitter,light–medium,moderate–loud,Spring–Summer,,Green,"braise, raw (salads), sauté, soups, wilt",,Spring–Summer,Green
,"beans, fava (broad beans or horse beans)",,https://cdn.pixabay.com/photo/2020/08/11/10/23/broad-beans-5479434_1280.jpg,bitter,light–medium,moderate,Spring–Summer,,Legume,"boil, puree, simmer",,Spring–Summer,Legume
